property,paper_MAE,MAE,MSE,RMSE,R2,delta_pct,prop
U0,0.0573,0.15742990787248,0.0488627671824512,0.2210492415333092,0.9999693523174444,-174.7467851177662,U0
U,0.0582,0.1513611857612654,0.046212263575317,0.2149703783671532,0.9999710144522028,-160.0707659128271,U
H,0.0575,0.1607443065727417,0.0645088483094226,0.2539859214787754,0.9999595383527782,-179.5553157786812,H
G,0.0562,0.1319735589466536,0.0534959365456295,0.2312918860350045,0.9999664471401828,-134.8283967022306,G
Cv,0.1223,0.1098228674984967,0.0230400077404285,0.1517893531853552,0.9985978345157304,10.202070728947914,Cv
homo,0.0952,0.0029092611594799,1.530921452117365e-05,0.0039126991350183,0.9678995181303882,96.94405340390767,homo
gap,0.1369,0.0039603843268682,2.9142049595960226e-05,0.0053983376696868,0.9868835952301184,97.10709691244105,gap
mu,0.523,0.4021923820569492,0.3166199042612305,0.5626898828495414,0.8457221696509233,23.098970926013543,mu
alpha,0.3095,0.3140586493639082,0.186438140514195,0.4317848312692272,0.9971906175340168,-1.4729077104711492,alpha
