property,paper_MAE,MAE,MSE,RMSE,R2
U0,0.0573,0.15742990787248007,0.04886276718245129,0.22104924153330924,0.9999693523174444
U,0.0582,0.1513611857612654,0.04621226357531702,0.21497037836715321,0.9999710144522028
H,0.0575,0.16074430657274172,0.06450884830942268,0.2539859214787754,0.9999595383527782
G,0.0562,0.1319735589466536,0.05349593654562955,0.23129188603500458,0.9999664471401828
Cv,0.1223,0.10982286749849672,0.02304000774042852,0.15178935318535525,0.9985978345157305
homo,0.0952,0.002909261159479921,1.530921452117365e-05,0.003912699135018389,0.9678995181303882
gap,0.1369,0.003960384326868242,2.9142049595960226e-05,0.005398337669686866,0.9868835952301185
mu,0.523,0.4021923820569492,0.31661990426123054,0.5626898828495414,0.8457221696509233
alpha,0.3095,0.31405864936390826,0.18643814051419505,0.43178483126922723,0.9971906175340169
